   siege                n.包围，围攻，围困
   can                  vt.装罐头
   analogue             n.类似物；同源语
   applause             n.喝彩；夸奖，称赞
   closet               n.小房间；壁碗橱
   bead                 n.有孔小珠；露珠
   bearing              n.支承；忍受；方位
   distinctly           ad.显然，清楚地
   compensate           vt.&vi.补偿，赔偿
   cancel               vt.删去，勾销，取消
   deepen               vt.加浓
   experimentation      n.实验，试验；实验法
   awful                a.威严的；令人崇敬的
   analogy              n.相似，类似；比拟
   cane                 n.(藤等)茎；手杖
   fabrication          n.制作，构成；捏造
   edit                 vt.编辑，编纂；校订
   originate            vi.发源 vt.首创
   concert              n.一齐，一致，协作
   acquaint             vt.使认识，使了解
   assumption           n.采取；假定；傲慢
   tempt                vt.引诱，诱惑，劝诱
   antique              a.古代的 n.古物
   compliment           n.问候 vt.赞美，祝贺
   antique              a.古代的 n.古物
   locality             n.位置，地点，发生地
   comparable           a.可比较的；类似的
   expire               vi.满期，到期；断气
   barren               a.贫瘠的；不妊的
   consumption          n.消费(量)，灭绝
   announce             vt.报告…的来到
   echo                 vt.反射(声音等)
   dominant             a.统治的 n.主因
   criterion            n.标准，准则，尺度
   dizzy                a.头晕眼花的，眩晕的
   conform              vt.使遵守 vi.一致
   clip                 vt.夹住 n.夹子，钳子
   console              n.悬臂，肘托；控制台
   affirm               vt.断言，批准；证实
   degrade              vt.使降给；使堕落
   commonwealth         n.共和国；联邦
   clash                n.碰撞声；抵触，冲突
   elevate              vt.提高(思想)；抬高
   epoch                n.(新)时代；历元
   dynamo               n.发电机
   chorus               vt.&vi.合唱
   deformation          n.损坏；变形；畸形
   errand               n.差使，差事
   array                vt.装扮 n.队列；排列
   engagement           n.婚约；约会，债务
   embassy              n.大使馆；大使的职务
   craft                n.技巧
   cruise               vi.巡航 vt.巡航于…
   ass                  n.驴；傻瓜，蠢笨的人
   carry                vt.刊登
   clown                n.(马戏的)小丑，丑角
   bronze               n.青铜色
   experimentally       ad.实验上，实验性地
   coordinate           a.同等的 n.同等的人
   currently            ad.普遍地；当前
   constitute           vt.构成，组成
   axial                a.轴的；轴向的
   deposition           n.免职，罢免；口供
   develop              vt.使(颜色等)显现
   concert              n.一齐，一致，协作
   executive            n.总经理，董事
   audience             n.正式会见；拜会
   clatter              n.得得声，卡嗒声
   elevation            n.高度；标高；隆肿
   expect               vt.料想，认为
